"","OPEID","INSTNM","CITY","STABBR","ZIP","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","AGE_ENTRY","UGDS_WOMEN","MARRIED","FIRST_GEN","FAMINC","MN_EARN_WNE_P10","ST_FIPS","ADM_RATE","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","completion","transfer","LOCALE","CCUGPROF","Year"
"1",100200,"Alabama A & M University","Normal","AL",35762,0,0,0,0,0,0,0,0.0184,0,20.867485182,0.5399,0.0266723116,0.4040697674,40257.95204,NA,1,0.49,NA,NA,NA,NA,NA,NA,0.11313518696069,0,12,10,"2008"
"2",105200,"University of Alabama at Birmingham","Birmingham","AL",35294,0,0,0,0,0,0,0,0.0217,0.0369,23.486499178,0.5975,0.1281991078,0.3677028052,55196.0066,NA,1,0.851,520,620,520,640,NA,NA,0.16309012875536,0.31902718168812,12,9,"2008"
"3",105500,"University of Alabama in Huntsville","Huntsville","AL",35899,0,0,0,0,0,0,0,0.035,0.0202,23.223599829,0.4727,0.1398033348,0.3380217786,56975.08301,NA,1,0.8917,480,620,500,630,NA,NA,0.16721311475409,0.34098360655737,12,9,"2008"
"4",100500,"Alabama State University","Montgomery","AL",36104,0.0133,0.9776,0.0034,2e-04,6e-04,0,0,0.0027,0.0021,20.938532908,0.5797,0.0200057988,0.4340206186,31955.5948,NA,1,0.4228,340,440,340,420,NA,NA,0,0,12,10,"2008"
"5",105100,"The University of Alabama","Tuscaloosa","AL",35487,0,0,0,0,0,0,0,0.0074,0,21.279131282,0.5278,0.0513712933,0.2808329667,86225.87275,NA,1,0.6039,490,600,490,610,NA,NA,0.3605415860735,0.19419729206963,13,14,"2008"
"6",831000,"Auburn University at Montgomery","Montgomery","AL",36117,0,0,0,0,0,0,0,0.0202,0.0307,23.793336145,0.6269,0.1425558836,0.4051233397,45727.56587,NA,1,0.9068,NA,NA,NA,NA,NA,NA,0.08851224105461,0.33145009416195,12,9,"2008"
"7",100900,"Auburn University","Auburn","AL",36849,0,0,0,0,0,0,0,0.0064,0.0092,20.557559682,0.4866,0.032714412,0.2359963269,94032.48591,NA,1,0.7081,520,620,550,650,520,620,0.34329797492767,0.15356798457087,13,15,"2008"
"8",101200,"Birmingham Southern College","Birmingham","AL",35254,0,0,0,0,0,0,0,0.0021,0.0227,19.762741652,0.5071,0.0228471002,0.1779816514,88672.79619,NA,1,0.6897,520,640,510,630,NA,NA,0.52941176470588,0,12,14,"2008"
"9",1303906,"South University-Montgomery","Montgomery","AL",36116,0,0,0,0,0,0,0,0,0,31.9694037,0.7778,0.3549574071,0.520425848,32671.20146,NA,1,0.8966,NA,NA,NA,NA,NA,NA,0.2,0,NA,NA,"2008"
"10",100300,"Faulkner University","Montgomery","AL",36109,0,0,0,0,0,0,0,0.0031,0.0256,28.662805663,0.5998,0.2183612184,0.4777611194,39027.07328,NA,1,0.2526,410,550,380,510,NA,NA,0.15094339622641,0,NA,NA,"2008"
